CLASS,DESCRIPTION,CORES SATISFIED,DAYS/TIMES,ROOM,INSTRUCTOR,UNITS,SEATS REMAINING
MGMT 6 (51079),Business Ethics,"Applied Ethics (Pathway), Design Thinking (Pathway), Ethics, Partial Credit Civic Engagement",MW 03:30 PM - 5:15pm,LUCAS 207,"Frontczak, Deirdre Mary Sheen",4.00,None
MGMT 6 (51095),Business Ethics,"Applied Ethics (Pathway), Design Thinking (Pathway), Ethics, Partial Credit Civic Engagement",TR 03:50 PM - 5:30pm,LUCAS 207,"Santoro, Michael Anthony",4.00,3
MGMT 6 (51080),Business Ethics,"Applied Ethics (Pathway), Design Thinking (Pathway), Ethics, Partial Credit Civic Engagement",MW 05:25 PM - 7:10pm,VARI 129,"Frontczak, Deirdre Mary Sheen",4.00,4
PHIL 21A (50706),Introduction to Ethics,"Applied Ethics (Pathway), Ethics",MWF 04:45 PM - 5:50pm,CASA 8,"Kain, Philip J",4.00,None
PHIL 22 (50707),Ethics in the Digital Age,"Applied Ethics (Pathway), Design Thinking (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Ethics",MWF 01:00 PM - 2:05pm,CASA 8,"Sars, Nicholas",4.00,None
PHIL 22 (51463),Ethics in the Digital Age,"Applied Ethics (Pathway), Design Thinking (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Ethics",MWF 04:45 PM - 5:50pm,CASA 7,"Sars, Nicholas",4.00,None
PHIL 25 (51464),Ethics in Society,"Applied Ethics (Pathway), Law & Social Justice (Pathway), Ethics",TR 02:00 PM - 3:40pm,KENNA 105,"Kulp, Christopher B",4.00,None
PHIL 25 (50702),Ethics in Society,"Applied Ethics (Pathway), Law & Social Justice (Pathway), Ethics",TR 10:20 AM - 12pm,KENNA 111,"Kulp, Christopher B",4.00,1
PHIL 26 (50685),Ethics in Business,"Applied Ethics (Pathway), Design Thinking (Pathway), Ethics, Partial Credit Civic Engagement",MWF 01:00 PM - 2:05pm,CASA 7,"Bradfield, Erin Cecilia",4.00,None
PHIL 26 (50687),Ethics in Business,"Applied Ethics (Pathway), Design Thinking (Pathway), Ethics, Partial Credit Civic Engagement",MWF 02:15 PM - 3:20pm,CASA 7,"Bradfield, Erin Cecilia",4.00,None
PHIL 26 (51465),Ethics in Business,"Applied Ethics (Pathway), Design Thinking (Pathway), Ethics, Partial Credit Civic Engagement",TR 03:50 PM - 5:30pm,KENNA 310,"Cronin, Madeline Ann",4.00,None
PHIL 27 (50697),Ethics in Health Care,"Applied Ethics (Pathway), Values Science Technology (Pathway), Ethics",MWF 09:15 AM - 10:20am,KENNA 308,"Kennedy, Susan",4.00,None
PHIL 27 (51466),Ethics in Health Care,"Applied Ethics (Pathway), Values Science Technology (Pathway), Ethics",MWF 10:30 AM - 11:35am,KENNA 308,"Kennedy, Susan",4.00,None
PHIL 30 (50708),Ethics and the Law,"Applied Ethics (Pathway), Law & Social Justice (Pathway), Ethics",MWF 10:30 AM - 11:35am,KENNA 304,"Nelson, Lawrence J",4.00,None
PHIL 32 (51467),Neuroethics,"Applied Ethics (Pathway), Ethics",TR 02:00 PM - 3:40pm,KENNA 109,"Ramirez, Erick Jose",4.00,None
PHIL 32 (50709),Neuroethics,"Applied Ethics (Pathway), Ethics",TR 10:20 AM - 12pm,CASA 8,"Ramirez, Erick Jose",4.00,None
PHIL 112 (51654),"Ethics, Authenticity, Freedom","Applied Ethics (Pathway), Vocation (Pathway), Ethics",MWF 01:00 PM - 2:05pm,SCDI 1302,"Nelson, Lawrence J",5.00,None
PHIL 185A (50690),University Ethics Bowl Team,"Applied Ethics (Pathway), Civic Engagement",MW 05:15 PM - 7:45pm,KENNA 214,"Bradfield, Erin Cecilia",5.00,20
POLI 30 (50776),Intro to Political Philosophy,"Applied Ethics (Pathway), Democracy (Pathway), Law & Social Justice (Pathway), Politics & Religion (Pathway)",MWF 01:00 PM - 2:05pm,KENNA 105,"Minowitz, Peter I",4.00,None
POLI 30 (50763),Intro to Political Philosophy,"Applied Ethics (Pathway), Democracy (Pathway), Law & Social Justice (Pathway), Politics & Religion (Pathway)",MWF 11:45 AM - 12:50pm,ALAM 104,"Meredith, Thomas",4.00,27
PSYC 114 (51673),Ethics in Psychology,"Applied Ethics (Pathway), Vocation (Pathway), Ethics",TR 10:20 AM - 12pm,OCONR 107,"Plante, Thomas",5.00,None
SCTR 39 (50839),Biblical Women and Power,"Applied Ethics (Pathway), Gender, Sexuality & the Body (Pathway), Justice and the Arts (Pathway), Paradigm Shifts (Pathway), Religion Theology & Culture 2",MWF 02:15 PM - 3:20pm,KENNA 105,"Gibson, Diana C",4.00,None
SCTR 128 (50835),Human Suffering & Hope,"Applied Ethics (Pathway), Human Rights (Pathway), Paradigm Shifts (Pathway), Experiential Learning for Social Justice, Religion Theology & Culture 3",MWF 11:45 AM - 12:50pm,KENNA 310,"Gibson, Diana C",5.00,None
WGST 47 (50931),Biblical Women and Power,"Applied Ethics (Pathway), Gender, Sexuality & the Body (Pathway), Justice and the Arts (Pathway), Paradigm Shifts (Pathway), Religion Theology & Culture 2",MWF 02:15 PM - 3:20pm,KENNA 105,"Gibson, Diana C",4.00,None
ARTH 26 (51537),Art! Making China Modern,"Beauty (Pathway), Gender, Globalization & Empire (Pathway), Politics & Religion (Pathway), Cultures and Ideas 3",MWF 09:15 AM - 10:20am,DOWD 208,"Clydesdale, Heather D",4.00,18
ARTS 30 (53859),Basic Drawing,"Beauty (Pathway), Arts",TBA,TBA,TBA,4.00,35
ARTS 30 (51435),Basic Drawing,"Beauty (Pathway), Arts",TR 02:00 PM - 4:20pm,DOWD 314,"Eastburn, Jessica",4.00,None
ARTS 30 (50257),Basic Drawing,"Beauty (Pathway), Arts",MW 08:00 AM - 10:20am,DOWD 314,"Eastburn, Jessica",4.00,2
ARTS 30 (51858),Basic Drawing,"Beauty (Pathway), Arts",TR 08:30 AM - 10:50am,DOWD 314,"Kain, Kathryn",4.00,None
ARTS 32 (50264),Two-Dimensional Design,"Beauty (Pathway), Design Thinking (Pathway), Arts",TR 11:00 AM - 1:20pm,DOWD 314,"Eastburn, Jessica",4.00,None
ARTS 43 (50258),Basic Painting,"Beauty (Pathway), Arts",MW 03:30 PM - 5:50pm,DOWD 320,"Detweiler, Robert K",4.00,None
ARTS 43 (50266),Basic Painting,"Beauty (Pathway), Arts",TR 04:30 PM - 6:50pm,DOWD 320,"Reynolds, Ryan Michael",4.00,1
ARTS 70 (50271),Graphic Design: Typography,"Beauty (Pathway), Design Thinking (Pathway), Arts",MW 01:00 PM - 3:20pm,DOWD 302,"Li, Qiuwen",4.00,4
ARTS 143 (50261),Intermediate Painting,"Beauty (Pathway), Arts",TR 02:00 PM - 4:20pm,DOWD 320,"Reynolds, Ryan Michael",5.00,5
MUSC 9 (51643),Intro to Listening: Electronic,"Beauty (Pathway), Arts",MWF 11:45 AM - 12:50pm,MDF 231,"Ruviaro, Bruno Tucunduva",4.00,None
MUSC 10 (55211),Intro to Listening: Jazz,"Beauty (Pathway), Diversity",TBA,TBA,TBA,4.00,30
MUSC 10 (50672),Intro to Listening: Jazz,"Beauty (Pathway), Diversity",TR 05:40 PM - 7:20pm,MDF 119,"Schultz, Carl Arther",4.00,None
MUSC 189 (51650),Sacred Music and the Church,"Beauty (Pathway), Justice and the Arts (Pathway), Paradigm Shifts (Pathway), Religion Theology & Culture 2",TR 02:00 PM - 3:40pm,MDF 119,"Hanna-Weir, Scot Alan",5.00,None
THTR 30 (50911),Intro to Design,"Beauty (Pathway), Design Thinking (Pathway), Arts",TR 10:20 AM - 12pm,MAYER 231,"Kenyon, Heather",4.00,2
WGST 104 (51893),"Beauty, Culture & Society","Beauty (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Cultures and Ideas 3",MW 05:25 PM - 7:10pm,OCONR 104,"Sharangpani, Mukta H",5.00,None
CHST 75 (50087),Technology and Education,"Children, Family, & Society (Pathway), Design Thinking (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",MWF 09:15 AM - 10:20am,GRAHAM 163,"Day, Elizabeth B",4.00,None
CHST 106 (50080),Urban Educ & Multiculturalism,"Children, Family, & Society (Pathway), Race Place & Soc Inequalities (Pathway), Sustainability (Pathway), Diversity, Experiential Learning for Social Justice",MWF 02:15 PM - 3:20pm,HEAFEY 129,"Davila, Omar",5.00,None
CHST 138 (50081),Exceptional Child,"Children, Family, & Society (Pathway)",TR 02:00 PM - 3:40pm,OCONR 102,"Watson, Cary Margaret",5.00,2
PSYC 172 (50806),Adolescent Development,"Children, Family, & Society (Pathway)",MWF 09:15 AM - 10:20am,ALMSC 120,"O'Brien, Barbara S",5.00,None
PSYC 178 (51676),Advanced Topics:Develop Psyc,"Children, Family, & Society (Pathway)",MWF 11:45 AM - 12:50pm,DOWD 122,"Read, Kirsten L",5.00,None
ANTH 6 (51529),Screen Time: Cultur/Film/Media,"Cinema Studies (Pathway), Cultures and Ideas 3",MWF 10:30 AM - 11:35am,GRAHAM 163,"Anderson, Ryan Bruce",4.00,None
COMM 3 (51580),Digital Storytelling,"Cinema Studies (Pathway), The Digital Age (Pathway)",TR 03:50 PM - 5:30pm,KENNA 107,"Kratz, Charlotta K",4.00,1
COMM 3 (51579),Digital Storytelling,"Cinema Studies (Pathway), The Digital Age (Pathway)",TR 12:10 PM - 1:50pm,KENNA 107,"Reese, Emily Ray",4.00,None
COMM 30 Lab (50045),Digital Filmmaking Lab,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts",W 02:15 PM - 3:45pm,VARI 102,"Silva, Fernando A.",N/A,None
COMM 30 Lab (50046),Digital Filmmaking Lab,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts",W 04:00 PM - 5:30pm,VARI 102,"Silva, Fernando A.",N/A,None
COMM 30 Lab (50038),Digital Filmmaking Lab,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts",W 08:30 AM - 10am,VARI 102,"Sieglitz, Michele",N/A,None
COMM 30 Lab (50047),Digital Filmmaking Lab,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts",F 08:30 AM - 10am,VARI 102,"Sieglitz, Michele",N/A,1
COMM 30 (50036),Digital Filmmaking,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts",TR 10:20 AM - 12pm,VARI 109,"Opper, Nicole Poppe",5.00,None
COMM 30 Lab (50039),Digital Filmmaking Lab,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts",W 10:30 AM - 12pm,VARI 102,"Sieglitz, Michele",N/A,None
COMM 30 (50037),Digital Filmmaking,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts",TR 12:10 PM - 1:50pm,VARI 109,"Rodriguez, Guillermo",5.00,1
COMM 30 Lab (50044),Digital Filmmaking Lab,"Cinema Studies (Pathway), Design Thinking (Pathway), Arts",W 12:15 PM - 1:45pm,VARI 102,"Silva, Fernando A.",N/A,None
COMM 104 (51896),Special Topics in Film/TV Hist,"Cinema Studies (Pathway), Cultures and Ideas 3",TBA,TBA,TBA,5.00,1
COMM 130 (51586),Screenwriting,"Cinema Studies (Pathway), Advanced Writing",TR 08:30 AM - 10:10am,VARI 109,"Reese, Emily Ray",5.00,None
COMM 131D (50030),Short Documentary Production,"Cinema Studies (Pathway), Justice and the Arts (Pathway), Arts",TR 02:00 PM - 3:40pm,VARI 109,"Opper, Nicole Poppe",5.00,8
COMM 131D Lab (50033),Short Documentary Production Lab,"Cinema Studies (Pathway), Justice and the Arts (Pathway), Arts",T 03:50 PM - 5:20pm,VARI 102,"Sieglitz, Michele",N/A,2
COMM 131D Lab (50034),Short Documentary Production Lab,"Cinema Studies (Pathway), Justice and the Arts (Pathway), Arts",R 03:50 PM - 5:20pm,VARI 102,"Sieglitz, Michele",N/A,4
COMM 131D Lab (50032),Short Documentary Production Lab,"Cinema Studies (Pathway), Justice and the Arts (Pathway), Arts",F 10:30 AM - 12pm,VARI 102,"Sieglitz, Michele",N/A,2
ENGL 122 (51895),"Film, Gender and Sexuality","Cinema Studies (Pathway), Gender, Sexuality & the Body (Pathway), Justice and the Arts (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MW 05:25 PM - 7:10pm,BERGIN 214,"Perez, Emily",5.00,None
WGST 134 (51894),"Film, Gender and Sexuality","Cinema Studies (Pathway), Gender, Sexuality & the Body (Pathway), Justice and the Arts (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MW 05:25 PM - 7:10pm,BERGIN 214,"Perez, Emily",5.00,None
CHST 4 (50079),Cultural Competence & Humility,"Democracy (Pathway), Civic Engagement, Diversity",MWF 04:45 PM - 5:50pm,ALAM 105,"Bookser, Brita",4.00,None
COMM 161 (50028),Advanced Journalism,"Democracy (Pathway), Advanced Writing, Experiential Learning for Social Justice",TR 03:50 PM - 5:30pm,VARI 128,"Kelley, Barbara B",5.00,None
COMM 164 (51860),Reporting on Justice,"Democracy (Pathway), Law & Social Justice (Pathway), Advanced Writing",MWF 02:15 PM - 3:20pm,VARI 128,"Davis, Lisa D",5.00,None
