CLASS,DESCRIPTION,CORES SATISFIED,DAYS/TIMES,ROOM,INSTRUCTOR,UNITS,SEATS REMAINING
TESP 165 (50901),Romero & Salvadoran Martyrs,"Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",MW 03:30 PM - 5:15pm,KENNA 214,"Lassalle-Klein, Robert",5.00,1
WGST 112 (50930),Women of Color in the US,"Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,KENNA 111,"Heard, CiAuna",5.00,9
ANTH 154 (50009),Environmental Anthropology,"Sustainability (Pathway), Civic Engagement",MWF 01:00 PM - 2:05pm,VARI 134,"Anderson, Ryan Bruce",5.00,None
BIOL 188 (50205),STEM Educ and Social Justice,"Sustainability (Pathway), Experiential Learning for Social Justice",M 05:30 PM - 7pm,SCDI 3301,"Korsmeyer, Katy Kuo",3.00,2
CENG 144 (51213),Water and Wastewater Treatment,"Sustainability (Pathway), Values Science Technology (Pathway)",MWF 01:00 PM - 2:05pm,BERGIN 116,"Amirbahman, Aria",3.00,14
CENG 144L (51214),Water/Wastewater Treatment Lab,"Sustainability (Pathway), Values Science Technology (Pathway)",T 02:15 PM - 5pm,BERGIN 116,"Amirbahman, Aria",1.00,14
ECON 111 (56368),Economics of the Environment,"Sustainability (Pathway), Values Science Technology (Pathway)",TBA,TBA,TBA,5.00,29
ENGR 1 (52049),Intro to Engineering,"Sustainability (Pathway), Science Technology & Society, Partial Credit Civic Engagement",W 02:15 PM - 3:20pm,SCDI 3302,"Boylan-Ashraf, Anne (Peggy)",1.00,2
ENGR 1 (52243),Intro to Engineering,"Sustainability (Pathway), Science Technology & Society, Partial Credit Civic Engagement",M 02:15 PM - 3:20pm,SCDI 3302,"Kuczenski, Jessica Anderson",1.00,4
ENGR 1 (51349),Intro to Engineering,"Sustainability (Pathway), Science Technology & Society, Partial Credit Civic Engagement",T 12:10 PM - 1:15pm,SCDI 2302,"Morusupalli, Raghavendra",1.00,7
ENGR 1 (51350),Intro to Engineering,"Sustainability (Pathway), Science Technology & Society, Partial Credit Civic Engagement",R 12:10 PM - 1:15pm,SCDI 2302,"Morusupalli, Raghavendra",1.00,6
ENVS 23 Lab (50417),Introduction to Earth Systems Lab,"Sustainability (Pathway), Values Science Technology (Pathway)",T 02:15 PM - 5pm,SCDI 3205,"Baker, Jonathan",N/A,None
ENVS 23 Lab (50418),Introduction to Earth Systems Lab,"Sustainability (Pathway), Values Science Technology (Pathway)",W 08:30 AM - 11:15am,SCDI 3205,"Baker, Jonathan",N/A,None
ENVS 23 (50416),Introduction to Earth Systems,"Sustainability (Pathway), Values Science Technology (Pathway)",TR 10:20 AM - 12pm,ALAM 102,"Baker, Jonathan",5.00,None
ENVS 147 (56327),Internat Environ & Develop,"Sustainability (Pathway), Values Science Technology (Pathway)",TBA,TBA,TBA,5.00,29
HIST 92 (51636),Modern East Asia,"Sustainability (Pathway), Cultures and Ideas 3",TR 08:30 AM - 10:10am,OCONR 105,"Molony, Barbara A",4.00,13
ACTG 134 (50954),Accounting Information Systems,"The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",TR 03:50 PM - 5:30pm,LUCAS 208,"Fowler, Kenneth J",5.00,None
ARTS 57 (53858),Digital Photography,"The Digital Age (Pathway), Arts",TBA,TBA,TBA,4.00,29
ARTS 57 (50263),Digital Photography,"The Digital Age (Pathway), Arts",MW 01:00 PM - 3:20pm,DOWD 304,"Martin, Michael",4.00,None
ARTS 57 (50268),Digital Photography,"The Digital Age (Pathway), Arts",MW 03:30 PM - 5:50pm,DOWD 302,"Martin, Michael",4.00,1
ARTS 57 (51436),Digital Photography,"The Digital Age (Pathway), Arts",TR 08:30 AM - 10:50am,DOWD 302,"Billingslea, Renee",4.00,None
ARTS 57 (51437),Digital Photography,"The Digital Age (Pathway), Arts",TR 11:00 AM - 1:20pm,DOWD 302,"Billingslea, Renee",4.00,None
OMIS 34 (52447),"Science,Info Tech, Busn & Soc","The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",TR 02:00 PM - 3:40pm,SOBRATO 19,"Sur, Sumana",4.00,None
OMIS 34 (51132),"Science,Info Tech, Busn & Soc","The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",MWF 03:30 PM - 4:35pm,LUCAS 310,"Sur, Sumana",4.00,None
OMIS 34 (51142),"Science,Info Tech, Busn & Soc","The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",MW 03:30 PM - 5:15pm,VARI 128,"Wang, Yaqiong",4.00,None
OMIS 34 (51128),"Science,Info Tech, Busn & Soc","The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",TR 03:50 PM - 5:30pm,LUCAS 210,"Alkhatib, Hasan S",4.00,None
OMIS 34 (51148),"Science,Info Tech, Busn & Soc","The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",MW 05:25 PM - 7:10pm,VARI 128,"Wang, Yaqiong",4.00,None
OMIS 34 (51151),"Science,Info Tech, Busn & Soc","The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",TR 05:40 PM - 7:20pm,VARI 128,"Goceri, Mehmet Salih",4.00,None
OMIS 34 (51150),"Science,Info Tech, Busn & Soc","The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",MW 07:20 PM - 9:05pm,VARI 128,"Jain, Dinkar",4.00,12
OMIS 34 (51493),"Science,Info Tech, Busn & Soc","The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",TR 07:30 PM - 9:10pm,VARI 128,"Goceri, Mehmet Salih",4.00,7
ANTH 2 Lab (50011),Intro to Archaeology Lab,"Values Science Technology (Pathway), Social Science",T 02:00 PM - 5pm,ALMSC 155,"Anderson, Nathan",N/A,None
ANTH 2 Lab (50005),Intro to Archaeology Lab,"Values Science Technology (Pathway), Social Science",M 02:15 PM - 5:15pm,ALMSC 155,"Panich, Lee M",N/A,None
ANTH 2 (50010),Intro to Archaeology,"Values Science Technology (Pathway), Social Science",TR 08:30 AM - 10:10am,OCONR 106,"Anderson, Nathan",4.00,None
ANTH 2 (50003),Intro to Archaeology,"Values Science Technology (Pathway), Social Science",MWF 11:45 AM - 12:50pm,KENNA 212,"Panich, Lee M",4.00,None
ANTH 135 (51532),Human Development & Sexuality,"Values Science Technology (Pathway), Science Technology & Society",TR 02:00 PM - 3:40pm,OCONR 207,"Miranda, Veronica",5.00,None
ANTH 137 (51533),Evolutionary Medicine,"Values Science Technology (Pathway), Science Technology & Society",TR 12:10 PM - 1:50pm,OCONR 204,"McKenna, James",5.00,None
ANTH 147 (56519),Archaeology: From Farm to City,"Values Science Technology (Pathway), Science Technology & Society",TBA,TBA,TBA,5.00,29
BIOL 117 Lab (50207),Epidemiology L&L Lab,"Values Science Technology (Pathway), Science Technology & Society",T 02:15 PM - 5pm,ALMSC 256,"Arcara, Jennet",N/A,None
BIOL 117 Lab (50208),Epidemiology L&L Lab,"Values Science Technology (Pathway), Science Technology & Society",R 02:15 PM - 5pm,ALMSC 256,"Arcara, Jennet",N/A,5
BIOL 117 (50206),Epidemiology L&L,"Values Science Technology (Pathway), Science Technology & Society",TR 12:10 PM - 1:50pm,SCDI 3115,"Arcara, Jennet",5.00,5
NEUR 1 (50683),Intro to Neuroscience,"Values Science Technology (Pathway), Science Technology & Society",TR 12:10 PM - 1:50pm,GRAHAM 164,"Chen, Lang",4.00,None
PHSC 1 (50715),Introduction to Public Health,"Values Science Technology (Pathway), Science Technology & Society",TR 10:20 AM - 12pm,SCDI 3116,"Arcara, Jennet",4.00,None
PHSC 100 Lab (50719),Epidemiology L&L Lab,"Values Science Technology (Pathway), Science Technology & Society",T 02:15 PM - 5pm,ALMSC 256,"Arcara, Jennet",N/A,None
PHSC 100 Lab (50720),Epidemiology L&L Lab,"Values Science Technology (Pathway), Science Technology & Society",R 02:15 PM - 5pm,ALMSC 256,"Arcara, Jennet",N/A,5
PHSC 100 (50718),Epidemiology L&L,"Values Science Technology (Pathway), Science Technology & Society",TR 12:10 PM - 1:50pm,SCDI 3115,"Arcara, Jennet",5.00,5
PHSC 135 (56387),Human Development & Sexuality,"Values Science Technology (Pathway), Science Technology & Society",TBA,TBA,TBA,5.00,29
PHSC 135 (51873),Human Development & Sexuality,"Values Science Technology (Pathway), Science Technology & Society",TR 02:00 PM - 3:40pm,OCONR 207,"Miranda, Veronica",5.00,None
RSOC 99 (50821),Sociology of Religion,"Values Science Technology (Pathway), Experiential Learning for Social Justice, Religion Theology & Culture 2",TR 02:00 PM - 3:40pm,KENNA 216,"Wright, Jaime D.",4.00,None
RSOC 99 (50822),Sociology of Religion,"Values Science Technology (Pathway), Experiential Learning for Social Justice, Religion Theology & Culture 2",TR 03:50 PM - 5:30pm,KENNA 216,"Wright, Jaime D.",4.00,None
SOCI 120 (50850),Survey Research & Stats Analys,"Values Science Technology (Pathway), Science Technology & Society",TR 02:00 PM - 3:40pm,ALAM 101,"Di, Di",5.00,16
ENGL 72 (51605),Poetry Writing,"Vocation (Pathway), Arts",TR 10:20 AM - 12pm,HEAFEY 125,"McIsaac, Claudia M",4.00,None
ENGL 73 (56438),Life Writing,"Vocation (Pathway), Advanced Writing, Arts",TBA,TBA,TBA,4.00,34
ENGL 73H (51606),Life Writing - Honors,"Vocation (Pathway), Advanced Writing, Arts",TR 05:40 PM - 7:20pm,DOWD 206,"Velasco-Moreno, Juan",4.00,None
LEAD 100AW (51575),Advanced Difficult Dialogues,"Vocation (Pathway), Advanced Writing",TR 10:20 AM - 12pm,STJOS 309,"Medina, Cruz Nicholas",5.00,5
TESP 71 (52500),Mysticism in Catholicism,"Vocation (Pathway), Religion Theology & Culture 2",MWF 08:00 AM - 9:05am,KENNA 308,"Rende, Michael",4.00,2
TESP 71 (52501),Mysticism in Catholicism,"Vocation (Pathway), Religion Theology & Culture 2",MWF 10:30 AM - 11:35am,SCDI 3115,"Rende, Michael",4.00,None
ENGL 111 (50388),Writing for Social Change,"Advanced Writing, Civic Engagement, Experiential Learning for Social Justice",MWF 01:00 PM - 2:05pm,ALAM 102,"Lasley, Michael R",5.00,None
ANTH 3 (50004),Intro to Cultural Anthropology,"Experiential Learning for Social Justice, Social Science",TR 12:10 PM - 1:50pm,ALAM 102,"Jegathesan, Mythri",4.00,3
