CLASS,DESCRIPTION,CORES SATISFIED,DAYS/TIMES,ROOM,INSTRUCTOR,UNITS,SEATS REMAINING
ENGR 1 (59680),Intro to Engineering,"Sustainability (Pathway), Science Technology & Society, Partial Credit Civic Engagement",R 12:10 PM - 1:15pm,SCDI 1308,"Boylan-Ashraf, Anne (Peggy)",1.00,None
ENVS 23 Lab (58702),Introduction to Earth Systems Lab,"Sustainability (Pathway), Values Science Technology (Pathway)",T 02:15 PM - 5pm,SCDI 3205,"Baker, Jonathan",N/A,None
ENVS 23 Lab (58703),Introduction to Earth Systems Lab,"Sustainability (Pathway), Values Science Technology (Pathway)",R 02:15 PM - 5pm,SCDI 3205,"Baker, Jonathan",N/A,None
ENVS 23 (58701),Introduction to Earth Systems,"Sustainability (Pathway), Values Science Technology (Pathway)",TR 12:10 PM - 1:50pm,ALAM 102,"Baker, Jonathan",5.00,None
ENVS 79 (59908),Environmental Thought,"Sustainability (Pathway), Vocation (Pathway)",MWF 01:00 PM - 2:05pm,ALAM 102,"Grudin, Theodore Robert",4.00,None
ARTS 57 (60139),Digital Photography,"The Digital Age (Pathway), Arts",TR 02:00 PM - 4:20pm,DOWD 304,"Kaneko, Hiroyo",4.00,None
MUSC 57 (59957),Laptop Orchestra (SCLOrk),"The Digital Age (Pathway), Arts",TR 08:30 AM - 10:10am,MDF 231,"Ruviaro, Bruno Tucunduva",2.00,4
MUSC 157 (59959),Laptop Orchestra (SCLOrk),"The Digital Age (Pathway), Arts",TR 08:30 AM - 10:10am,MDF 231,"Ruviaro, Bruno Tucunduva",2.00,4
OMIS 34 (59764),"Science,Info Tech, Busn & Soc","The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",MWF 02:15 PM - 3:20pm,LUCAS 310,"Tan, Xuan",4.00,None
OMIS 34 (59765),"Science,Info Tech, Busn & Soc","The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",MWF 03:30 PM - 4:35pm,LUCAS 310,"Tan, Xuan",4.00,1
OMIS 34 (59445),"Science,Info Tech, Busn & Soc","The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",MWF 08:00 AM - 9:05am,LUCAS 210,"Tan, Xuan",4.00,None
OMIS 34 (59442),"Science,Info Tech, Busn & Soc","The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",MWF 09:15 AM - 10:20am,LUCAS 210,"Tan, Xuan",4.00,None
OMIS 34 (59435),"Science,Info Tech, Busn & Soc","The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",TR 10:20 AM - 12pm,LUCAS 209,"Sur, Sumana",4.00,None
OMIS 34 (59449),"Science,Info Tech, Busn & Soc","The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",MWF 11:45 AM - 12:50pm,LUCAS 209,"Tan, Xuan",4.00,None
OMIS 34 (59433),"Science,Info Tech, Busn & Soc","The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",TR 12:10 PM - 1:50pm,LUCAS 209,"Sur, Sumana",4.00,None
ANTH 2 Lab (58389),Intro to Archaeology Lab,"Values Science Technology (Pathway), Social Science",W 02:15 PM - 5:15pm,ALMSC 155,"Anderson, Nathan",N/A,None
ANTH 2 (58388),Intro to Archaeology,"Values Science Technology (Pathway), Social Science",MWF 08:00 AM - 9:05am,CASA 3,"Anderson, Nathan",4.00,None
ANTH 132 (58397),Paleoanthropology,"Values Science Technology (Pathway), Science Technology & Society",MWF 02:15 PM - 3:20pm,ALAM 108,"Casareto, Ana",5.00,21
BIOL 117 (58432),Epidemiology L&L,"Values Science Technology (Pathway), Science Technology & Society",MWF 01:00 PM - 2:05pm,SCDI 3301,"Arcara, Jennet",5.00,None
BIOL 117 Lab (58433),Epidemiology L&L Lab,"Values Science Technology (Pathway), Science Technology & Society",M 02:15 PM - 5pm,ALMSC 256,"Arcara, Jennet",N/A,None
BIOL 117 Lab (59781),Epidemiology L&L Lab,"Values Science Technology (Pathway), Science Technology & Society",W 02:15 PM - 5pm,ALMSC 256,"Arcara, Jennet",N/A,None
COMM 113 (58615),"Communication,the Body,&Health","Values Science Technology (Pathway), Science Technology & Society",TR 02:00 PM - 3:40pm,KENNA 111,"Boren, Justin Peter",5.00,None
NEUR 1 (60483),Intro to Neuroscience,"Values Science Technology (Pathway), Science Technology & Society",MWF 09:15 AM - 10:20am,ALMSC 220,"Atzori, Marco",4.00,None
PHSC 1 (59028),Introduction to Public Health,"Values Science Technology (Pathway), Science Technology & Society",MW 05:25 PM - 7:10pm,KENNA 218,"Crespi, Shelby",4.00,9
PHSC 1 (59798),Introduction to Public Health,"Values Science Technology (Pathway), Science Technology & Society",TR 12:10 PM - 1:50pm,KENNA 212,"Parker, Michele T",4.00,None
PHSC 100 (59026),Epidemiology L&L,"Values Science Technology (Pathway), Science Technology & Society",MWF 01:00 PM - 2:05pm,SCDI 3301,"Arcara, Jennet",5.00,None
PHSC 100 Lab (59027),Epidemiology L&L Lab,"Values Science Technology (Pathway), Science Technology & Society",M 02:15 PM - 5pm,ALMSC 256,"Arcara, Jennet",N/A,None
PHSC 100 Lab (59799),Epidemiology L&L Lab,"Values Science Technology (Pathway), Science Technology & Society",W 02:15 PM - 5pm,ALMSC 256,"Arcara, Jennet",N/A,None
RSOC 99 (59998),Sociology of Religion,"Values Science Technology (Pathway), Experiential Learning for Social Justice, Religion Theology & Culture 2",M 06:00 PM - 9:05pm,KENNA 104,"Moles, Kathryn Rose Sharie",4.00,None
SOCI 120 (60015),Survey Research & Stats Analys,"Values Science Technology (Pathway), Science Technology & Society",TR 12:10 PM - 1:50pm,GRAHAM 164,"Di, Di",5.00,15
ENGL 72 (58673),Poetry Writing,"Vocation (Pathway), Arts",TR 05:40 PM - 7:20pm,DOWD 302,"Tremblay-McGaw, Robin J",4.00,None
ENGL 73 (58655),Life Writing,"Vocation (Pathway), Advanced Writing, Arts",MW 05:25 PM - 7:10pm,VARSI 231,"Levantovskaya, Margarita",4.00,None
ENGL 162 (59904),Literature and Religion,"Vocation (Pathway), Religion Theology & Culture 2",TR 05:40 PM - 7:20pm,ALAM 105,"Velasco-Moreno, Juan",5.00,15
RSOC 106 (59160),Zen in Theory and Practice,"Vocation (Pathway), Religion Theology & Culture 3",TR 03:50 PM - 5:30pm,WALSH MULP,"Tamayo-Moraga, Sarita Stella",5.00,None
CHST 100 (58568),Advanced Writing for Research,"Advanced Writing, Social Science",TR 12:10 PM - 1:50pm,WALSH MULP,"Solomon, Brett Johnson",5.00,None
ENGL 113EL (58662),Writing Ctr Theory & Practice,"Advanced Writing, Experiential Learning for Social Justice",TR 03:50 PM - 5:30pm,OCONR 201,"Krane, Denise K",5.00,None
POLI 140 (59108),Poli & Develop in Global South,"Cultures and Ideas 3, Social Science",TR 08:30 AM - 10:10am,KENNA 212,"Gordon, Dennis R",5.00,8
ANTH 3 (58386),Intro to Cultural Anthropology,"Experiential Learning for Social Justice, Social Science",MWF 10:30 AM - 11:35am,ALAM 103,"Anderson, Ryan Bruce",4.00,None
CENG 194 (59503),Design Project Communication,"Partial Credit Arts, Partial Credit Civic Engagement",TBA,TBA,"Abbott, Tracy S",1.00,31
CENG 194 (59504),Design Project Communication,"Partial Credit Arts, Partial Credit Civic Engagement",TBA,TBA,"Doyle, Laura A",1.00,6
CENG 194 (59505),Design Project Communication,"Partial Credit Arts, Partial Credit Civic Engagement",TBA,TBA,"Segura, Rocio Lilen",1.00,7
CENG 194 (59507),Design Project Communication,"Partial Credit Arts, Partial Credit Civic Engagement",TBA,TBA,"He, Rong",1.00,5
CENG 194 (59514),Design Project Communication,"Partial Credit Arts, Partial Credit Civic Engagement",TBA,TBA,"Serrette, Reynaud L",1.00,5
CENG 194 (59528),Design Project Communication,"Partial Credit Arts, Partial Credit Civic Engagement",TBA,TBA,"Singh, Sukhmander",1.00,7
CENG 194 (59529),Design Project Communication,"Partial Credit Arts, Partial Credit Civic Engagement",TBA,TBA,"Amirbahman, Aria",1.00,7
CENG 194 (59530),Design Project Communication,"Partial Credit Arts, Partial Credit Civic Engagement",TBA,TBA,"Said, Hisham M",1.00,5
CENG 194 (59532),Design Project Communication,"Partial Credit Arts, Partial Credit Civic Engagement",TBA,TBA,"Pachmayer, Karen",1.00,10
CENG 194 (60688),Design Project Communication,"Partial Credit Arts, Partial Credit Civic Engagement",TBA,TBA,"Pachmayer, Karen",1.00,30
CENG 194 (60689),Design Project Communication,"Partial Credit Arts, Partial Credit Civic Engagement",TBA,TBA,"Pachmayer, Karen",1.00,30
PHYS 103 (59059),Numerical Methods in Physics,"Partial Credit Engineering, Math, CS",MWF 09:15 AM - 10:20am,SCDI 2301,"Ramon, Guy",5.00,8
